pkg,date,downloads
human-learn,2021-05-29,14
mktestdocs,2021-05-29,1
scikit-lego,2021-05-29,12
tokenwiser,2021-05-29,1
whatlies,2021-05-29,4
clumper,2021-05-30,67
drawdata,2021-05-30,5
human-learn,2021-05-30,5
memo,2021-05-30,14
mktestdocs,2021-05-30,1
scikit-lego,2021-05-30,21
tokenwiser,2021-05-30,17
whatlies,2021-05-30,92
clumper,2021-05-31,28
drawdata,2021-05-31,4
human-learn,2021-05-31,31
memo,2021-05-31,24
mktestdocs,2021-05-31,4
scikit-lego,2021-05-31,152
tokenwiser,2021-05-31,11
whatlies,2021-05-31,4
clumper,2021-06-01,66
drawdata,2021-06-01,9
human-learn,2021-06-01,4
memo,2021-06-01,17
mktestdocs,2021-06-01,13
scikit-lego,2021-06-01,176
tokenwiser,2021-06-01,4
whatlies,2021-06-01,65
clumper,2021-06-02,89
drawdata,2021-06-02,5
human-learn,2021-06-02,58
memo,2021-06-02,316
mktestdocs,2021-06-02,28
scikit-lego,2021-06-02,108
tokenwiser,2021-06-02,10
whatlies,2021-06-02,30
clumper,2021-06-03,41
drawdata,2021-06-03,23
human-learn,2021-06-03,23
memo,2021-06-03,132
mktestdocs,2021-06-03,9
scikit-lego,2021-06-03,207
tokenwiser,2021-06-03,14
whatlies,2021-06-03,136
clumper,2021-06-04,58
drawdata,2021-06-04,6
human-learn,2021-06-04,66
memo,2021-06-04,62
mktestdocs,2021-06-04,9
scikit-lego,2021-06-04,225
tokenwiser,2021-06-04,11
whatlies,2021-06-04,99
clumper,2021-06-05,106
drawdata,2021-06-05,15
human-learn,2021-06-05,26
memo,2021-06-05,53
mktestdocs,2021-06-05,11
scikit-lego,2021-06-05,67
tokenwiser,2021-06-05,8
whatlies,2021-06-05,7
clumper,2021-06-07,49
drawdata,2021-06-07,13
human-learn,2021-06-07,19
memo,2021-06-07,50
mktestdocs,2021-06-07,4
scikit-lego,2021-06-07,352
tokenwiser,2021-06-07,20
whatlies,2021-06-07,39
clumper,2021-06-08,42
drawdata,2021-06-08,5
human-learn,2021-06-08,18
memo,2021-06-08,14
mktestdocs,2021-06-08,3
scikit-lego,2021-06-08,261
tokenwiser,2021-06-08,16
whatlies,2021-06-08,20
clumper,2021-06-09,85
drawdata,2021-06-09,18
human-learn,2021-06-09,24
memo,2021-06-09,32
mktestdocs,2021-06-09,3
scikit-lego,2021-06-09,327
tokenwiser,2021-06-09,20
whatlies,2021-06-09,101
clumper,2021-06-10,97
drawdata,2021-06-10,14
human-learn,2021-06-10,40
memo,2021-06-10,24
mktestdocs,2021-06-10,5
scikit-lego,2021-06-10,244
tokenwiser,2021-06-10,14
whatlies,2021-06-10,22
clumper,2021-06-11,25
drawdata,2021-06-11,10
human-learn,2021-06-11,55
memo,2021-06-11,47
mktestdocs,2021-06-11,5
scikit-lego,2021-06-11,148
tokenwiser,2021-06-11,32
whatlies,2021-06-11,100
clumper,2021-06-12,43
drawdata,2021-06-12,13
human-learn,2021-06-12,5
memo,2021-06-12,55
mktestdocs,2021-06-12,11
scikit-lego,2021-06-12,36
tokenwiser,2021-06-12,13
whatlies,2021-06-12,162
clumper,2021-06-13,63
drawdata,2021-06-13,7
human-learn,2021-06-13,34
memo,2021-06-13,44
mktestdocs,2021-06-13,5
scikit-lego,2021-06-13,28
tokenwiser,2021-06-13,2
whatlies,2021-06-13,13
clumper,2021-06-14,17
drawdata,2021-06-14,3
human-learn,2021-06-14,32
memo,2021-06-14,52
mktestdocs,2021-06-14,1
scikit-lego,2021-06-14,287
tokenwiser,2021-06-14,21
whatlies,2021-06-14,32
clumper,2021-06-15,107
drawdata,2021-06-15,28
human-learn,2021-06-15,63
memo,2021-06-15,116
mktestdocs,2021-06-15,21
scikit-lego,2021-06-15,333
tokenwiser,2021-06-15,38
whatlies,2021-06-15,152
clumper,2021-06-16,103
drawdata,2021-06-16,24
human-learn,2021-06-16,82
memo,2021-06-16,124
mktestdocs,2021-06-16,5
scikit-lego,2021-06-16,244
tokenwiser,2021-06-16,15
whatlies,2021-06-16,41
clumper,2021-06-17,80
drawdata,2021-06-17,7
human-learn,2021-06-17,11
memo,2021-06-17,101
mktestdocs,2021-06-17,9
scikit-lego,2021-06-17,326
tokenwiser,2021-06-17,9
whatlies,2021-06-17,152
clumper,2021-06-18,127
drawdata,2021-06-18,34
human-learn,2021-06-18,34
memo,2021-06-18,21
mktestdocs,2021-06-18,4
scikit-lego,2021-06-18,143
tokenwiser,2021-06-18,22
whatlies,2021-06-18,15
clumper,2021-06-19,103
drawdata,2021-06-19,4
human-learn,2021-06-19,44
memo,2021-06-19,34
mktestdocs,2021-06-19,4
scikit-lego,2021-06-19,55
tokenwiser,2021-06-19,6
whatlies,2021-06-19,100
clumper,2021-06-20,23
drawdata,2021-06-20,14
human-learn,2021-06-20,56
memo,2021-06-20,42
mktestdocs,2021-06-20,17
pytest-duration-insights,2021-06-20,102
scikit-lego,2021-06-20,61
tokenwiser,2021-06-20,13
whatlies,2021-06-20,91
clumper,2021-06-21,17
drawdata,2021-06-21,9
human-learn,2021-06-21,8
memo,2021-06-21,10
mktestdocs,2021-06-21,8
pytest-duration-insights,2021-06-21,41
scikit-lego,2021-06-21,283
tokenwiser,2021-06-21,1
whatlies,2021-06-21,11
clumper,2021-06-22,159
drawdata,2021-06-22,2
human-learn,2021-06-22,48
memo,2021-06-22,53
mktestdocs,2021-06-22,47
pytest-duration-insights,2021-06-22,21
scikit-lego,2021-06-22,316
tokenwiser,2021-06-22,20
whatlies,2021-06-22,108
clumper,2021-06-23,167
drawdata,2021-06-23,14
human-learn,2021-06-23,18
memo,2021-06-23,37
mktestdocs,2021-06-23,9
pytest-duration-insights,2021-06-23,11
scikit-lego,2021-06-23,301
tokenwiser,2021-06-23,12
whatlies,2021-06-23,20
clumper,2021-06-24,68
drawdata,2021-06-24,16
human-learn,2021-06-24,12
memo,2021-06-24,38
mktestdocs,2021-06-24,4
pytest-duration-insights,2021-06-24,43
scikit-lego,2021-06-24,187
tokenwiser,2021-06-24,21
whatlies,2021-06-24,126
clumper,2021-06-25,112
drawdata,2021-06-25,9
human-learn,2021-06-25,56
memo,2021-06-25,36
mktestdocs,2021-06-25,9
pytest-duration-insights,2021-06-25,195
scikit-lego,2021-06-25,179
tokenwiser,2021-06-25,1
whatlies,2021-06-25,87
clumper,2021-06-26,107
drawdata,2021-06-26,8
human-learn,2021-06-26,5
memo,2021-06-26,31
mktestdocs,2021-06-26,10
pytest-duration-insights,2021-06-26,91
scikit-lego,2021-06-26,41
tokenwiser,2021-06-26,8
whatlies,2021-06-26,12
clumper,2021-06-27,37
drawdata,2021-06-27,7
human-learn,2021-06-27,31
memo,2021-06-27,14
mktestdocs,2021-06-27,6
pytest-duration-insights,2021-06-27,30
scikit-lego,2021-06-27,109
tokenwiser,2021-06-27,12
whatlies,2021-06-27,3
clumper,2021-06-28,224
drawdata,2021-06-28,4
human-learn,2021-06-28,16
memo,2021-06-28,17
mktestdocs,2021-06-28,2
pytest-duration-insights,2021-06-28,24
scikit-lego,2021-06-28,281
whatlies,2021-06-28,90
clumper,2021-06-29,22
drawdata,2021-06-29,14
human-learn,2021-06-29,12
memo,2021-06-29,47
mktestdocs,2021-06-29,1
pytest-duration-insights,2021-06-29,41
scikit-lego,2021-06-29,180
tokenwiser,2021-06-29,10
whatlies,2021-06-29,100
clumper,2021-06-30,91
drawdata,2021-06-30,10
human-learn,2021-06-30,38
memo,2021-06-30,53
mktestdocs,2021-06-30,6
pytest-duration-insights,2021-06-30,15
scikit-lego,2021-06-30,77
tokenwiser,2021-06-30,24
whatlies,2021-06-30,102
clumper,2021-07-01,51
drawdata,2021-07-01,17
human-learn,2021-07-01,39
memo,2021-07-01,18
mktestdocs,2021-07-01,5
pytest-duration-insights,2021-07-01,13
scikit-lego,2021-07-01,343
tokenwiser,2021-07-01,11
whatlies,2021-07-01,113
clumper,2021-07-02,43
drawdata,2021-07-02,5
human-learn,2021-07-02,28
memo,2021-07-02,28
mktestdocs,2021-07-02,2
pytest-duration-insights,2021-07-02,36
scikit-lego,2021-07-02,191
tokenwiser,2021-07-02,21
whatlies,2021-07-02,361
clumper,2021-07-03,194
drawdata,2021-07-03,6
human-learn,2021-07-03,10
memo,2021-07-03,2
mktestdocs,2021-07-03,4
pytest-duration-insights,2021-07-03,17
scikit-lego,2021-07-03,183
tokenwiser,2021-07-03,12
whatlies,2021-07-03,5
clumper,2021-07-04,5
drawdata,2021-07-04,10
human-learn,2021-07-04,8
memo,2021-07-04,5
mktestdocs,2021-07-04,3
pytest-duration-insights,2021-07-04,38
scikit-lego,2021-07-04,123
whatlies,2021-07-04,55
clumper,2021-07-05,46
drawdata,2021-07-05,8
human-learn,2021-07-05,79
memo,2021-07-05,48
mktestdocs,2021-07-05,6
pytest-duration-insights,2021-07-05,14
scikit-lego,2021-07-05,112
whatlies,2021-07-05,11
clumper,2021-07-06,102
drawdata,2021-07-06,1
human-learn,2021-07-06,101
memo,2021-07-06,56
mktestdocs,2021-07-06,16
pytest-duration-insights,2021-07-06,45
scikit-lego,2021-07-06,563
tokenwiser,2021-07-06,10
whatlies,2021-07-06,12
clumper,2021-07-07,86
drawdata,2021-07-07,13
human-learn,2021-07-07,19
memo,2021-07-07,34
mktestdocs,2021-07-07,4
pytest-duration-insights,2021-07-07,42
scikit-lego,2021-07-07,607
tokenwiser,2021-07-07,23
whatlies,2021-07-07,193
clumper,2021-07-08,27
drawdata,2021-07-08,15
human-learn,2021-07-08,76
memo,2021-07-08,56
mktestdocs,2021-07-08,12
pytest-duration-insights,2021-07-08,39
scikit-lego,2021-07-08,622
tokenwiser,2021-07-08,30
whatlies,2021-07-08,204
clumper,2021-07-09,148
drawdata,2021-07-09,18
human-learn,2021-07-09,18
memo,2021-07-09,35
mktestdocs,2021-07-09,12
pytest-duration-insights,2021-07-09,52
scikit-lego,2021-07-09,479
tokenwiser,2021-07-09,14
whatlies,2021-07-09,116
clumper,2021-07-10,68
drawdata,2021-07-10,11
human-learn,2021-07-10,53
memo,2021-07-10,20
mktestdocs,2021-07-10,8
pytest-duration-insights,2021-07-10,36
scikit-lego,2021-07-10,457
tokenwiser,2021-07-10,23
whatlies,2021-07-10,32
clumper,2021-07-11,62
drawdata,2021-07-11,4
human-learn,2021-07-11,31
memo,2021-07-11,72
mktestdocs,2021-07-11,12
pytest-duration-insights,2021-07-11,12
scikit-lego,2021-07-11,478
tokenwiser,2021-07-11,20
whatlies,2021-07-11,162
clumper,2021-07-12,105
drawdata,2021-07-12,10
human-learn,2021-07-12,10
memo,2021-07-12,54
mktestdocs,2021-07-12,34
pytest-duration-insights,2021-07-12,30
scikit-lego,2021-07-12,650
tokenwiser,2021-07-12,20
whatlies,2021-07-12,104
clumper,2021-07-13,81
drawdata,2021-07-13,21
human-learn,2021-07-13,10
memo,2021-07-13,29
mktestdocs,2021-07-13,2
pytest-duration-insights,2021-07-13,13
scikit-lego,2021-07-13,608
whatlies,2021-07-13,21
clumper,2021-07-14,33
drawdata,2021-07-14,2
human-learn,2021-07-14,41
memo,2021-07-14,24
mktestdocs,2021-07-14,1
pytest-duration-insights,2021-07-14,14
scikit-lego,2021-07-14,538
tokenwiser,2021-07-14,19
whatlies,2021-07-14,206
clumper,2021-07-15,84
drawdata,2021-07-15,13
human-learn,2021-07-15,32
memo,2021-07-15,50
scikit-lego,2021-07-15,637
whatlies,2021-07-15,67
clumper,2021-07-16,85
drawdata,2021-07-16,36
human-learn,2021-07-16,53
memo,2021-07-16,36
mktestdocs,2021-07-16,4
pytest-duration-insights,2021-07-16,36
scikit-lego,2021-07-16,479
tokenwiser,2021-07-16,36
whatlies,2021-07-16,113
clumper,2021-07-17,113
drawdata,2021-07-17,25
human-learn,2021-07-17,35
memo,2021-07-17,13
mktestdocs,2021-07-17,4
pytest-duration-insights,2021-07-17,6
scikit-lego,2021-07-17,513
tokenwiser,2021-07-17,20
whatlies,2021-07-17,212
clumper,2021-07-18,205
drawdata,2021-07-18,19
human-learn,2021-07-18,40
memo,2021-07-18,30
mktestdocs,2021-07-18,20
pytest-duration-insights,2021-07-18,12
scikit-lego,2021-07-18,507
tokenwiser,2021-07-18,10
whatlies,2021-07-18,113
clumper,2021-07-19,220
drawdata,2021-07-19,12
human-learn,2021-07-19,23
memo,2021-07-19,12
mktestdocs,2021-07-19,36
pytest-duration-insights,2021-07-19,35
scikit-lego,2021-07-19,601
tokenwiser,2021-07-19,16
whatlies,2021-07-19,29
clumper,2021-07-20,159
drawdata,2021-07-20,35
human-learn,2021-07-20,57
memo,2021-07-20,58
mktestdocs,2021-07-20,12
pytest-duration-insights,2021-07-20,14
scikit-lego,2021-07-20,581
tokenwiser,2021-07-20,9
whatlies,2021-07-20,13
clumper,2021-07-21,164
drawdata,2021-07-21,12
human-learn,2021-07-21,34
memo,2021-07-21,18
mktestdocs,2021-07-21,5
pytest-duration-insights,2021-07-21,12
scikit-lego,2021-07-21,622
tokenwiser,2021-07-21,22
whatlies,2021-07-21,75
clumper,2021-07-22,114
drawdata,2021-07-22,15
human-learn,2021-07-22,55
memo,2021-07-22,32
mktestdocs,2021-07-22,12
pytest-duration-insights,2021-07-22,14
scikit-lego,2021-07-22,606
tokenwiser,2021-07-22,11
whatlies,2021-07-22,203
clumper,2021-07-23,115
drawdata,2021-07-23,11
human-learn,2021-07-23,69
memo,2021-07-23,25
mktestdocs,2021-07-23,6
pytest-duration-insights,2021-07-23,24
scikit-lego,2021-07-23,526
tokenwiser,2021-07-23,10
whatlies,2021-07-23,24
clumper,2021-07-24,51
drawdata,2021-07-24,9
human-learn,2021-07-24,29
memo,2021-07-24,30
mktestdocs,2021-07-24,5
pytest-duration-insights,2021-07-24,37
scikit-lego,2021-07-24,391
whatlies,2021-07-24,93
clumper,2021-07-25,87
drawdata,2021-07-25,8
human-learn,2021-07-25,60
memo,2021-07-25,22
mktestdocs,2021-07-25,12
pytest-duration-insights,2021-07-25,1
scikit-lego,2021-07-25,515
tokenwiser,2021-07-25,8
whatlies,2021-07-25,113
clumper,2021-07-26,134
drawdata,2021-07-26,19
human-learn,2021-07-26,58
memo,2021-07-26,50
mktestdocs,2021-07-26,13
pytest-duration-insights,2021-07-26,37
scikit-lego,2021-07-26,584
tokenwiser,2021-07-26,10
whatlies,2021-07-26,18
clumper,2021-07-27,117
drawdata,2021-07-27,15
human-learn,2021-07-27,17
memo,2021-07-27,28
mktestdocs,2021-07-27,44
pytest-duration-insights,2021-07-27,49
scikit-lego,2021-07-27,1004
tokenwiser,2021-07-27,20
whatlies,2021-07-27,29
clumper,2021-07-28,149
drawdata,2021-07-28,21
human-learn,2021-07-28,68
memo,2021-07-28,19
mktestdocs,2021-07-28,9
pytest-duration-insights,2021-07-28,19
scikit-lego,2021-07-28,659
tokenwiser,2021-07-28,16
whatlies,2021-07-28,199
clumper,2021-07-29,73
drawdata,2021-07-29,26
human-learn,2021-07-29,49
memo,2021-07-29,27
mktestdocs,2021-07-29,22
pytest-duration-insights,2021-07-29,41
scikit-lego,2021-07-29,669
tokenwiser,2021-07-29,133
whatlies,2021-07-29,20
clumper,2021-07-30,78
drawdata,2021-07-30,12
human-learn,2021-07-30,39
memo,2021-07-30,59
mktestdocs,2021-07-30,14
pytest-duration-insights,2021-07-30,24
scikit-lego,2021-07-30,603
tokenwiser,2021-07-30,69
whatlies,2021-07-30,21
clumper,2021-07-31,58
drawdata,2021-07-31,19
human-learn,2021-07-31,34
memo,2021-07-31,14
mktestdocs,2021-07-31,17
pytest-duration-insights,2021-07-31,22
scikit-lego,2021-07-31,462
tokenwiser,2021-07-31,59
whatlies,2021-07-31,193
clumper,2021-08-01,23
drawdata,2021-08-01,4
human-learn,2021-08-01,55
memo,2021-08-01,27
mktestdocs,2021-08-01,5
pytest-duration-insights,2021-08-01,13
scikit-lego,2021-08-01,478
tokenwiser,2021-08-01,7
whatlies,2021-08-01,8
clumper,2021-08-02,77
drawdata,2021-08-02,1
human-learn,2021-08-02,54
memo,2021-08-02,41
mktestdocs,2021-08-02,2
pytest-duration-insights,2021-08-02,23
scikit-lego,2021-08-02,600
tokenwiser,2021-08-02,34
whatlies,2021-08-02,33
clumper,2021-08-03,70
drawdata,2021-08-03,18
human-learn,2021-08-03,70
memo,2021-08-03,75
mktestdocs,2021-08-03,9
pytest-duration-insights,2021-08-03,34
scikit-lego,2021-08-03,623
tokenwiser,2021-08-03,16
whatlies,2021-08-03,65
clumper,2021-08-04,102
drawdata,2021-08-04,18
human-learn,2021-08-04,45
memo,2021-08-04,17
mktestdocs,2021-08-04,13
pytest-duration-insights,2021-08-04,38
scikit-lego,2021-08-04,751
tokenwiser,2021-08-04,43
whatlies,2021-08-04,349
clumper,2021-08-05,84
drawdata,2021-08-05,7
human-learn,2021-08-05,34
memo,2021-08-05,61
mktestdocs,2021-08-05,122
pytest-duration-insights,2021-08-05,37
scikit-lego,2021-08-05,622
tokenwiser,2021-08-05,19
whatlies,2021-08-05,184
clumper,2021-08-06,97
drawdata,2021-08-06,24
human-learn,2021-08-06,44
memo,2021-08-06,17
mktestdocs,2021-08-06,92
pytest-duration-insights,2021-08-06,15
scikit-lego,2021-08-06,679
tokenwiser,2021-08-06,9
whatlies,2021-08-06,14
clumper,2021-08-07,121
drawdata,2021-08-07,8
human-learn,2021-08-07,60
memo,2021-08-07,58
mktestdocs,2021-08-07,49
pytest-duration-insights,2021-08-07,12
scikit-lego,2021-08-07,566
tokenwiser,2021-08-07,40
whatlies,2021-08-07,102
clumper,2021-08-08,45
drawdata,2021-08-08,1
human-learn,2021-08-08,12
memo,2021-08-08,14
mktestdocs,2021-08-08,14
pytest-duration-insights,2021-08-08,22
scikit-lego,2021-08-08,480
tokenwiser,2021-08-08,22
whatlies,2021-08-08,101
clumper,2021-08-09,72
drawdata,2021-08-09,15
human-learn,2021-08-09,14
memo,2021-08-09,16
mktestdocs,2021-08-09,22
scikit-lego,2021-08-09,568
tokenwiser,2021-08-09,3
whatlies,2021-08-09,20
clumper,2021-08-10,133
drawdata,2021-08-10,13
human-learn,2021-08-10,70
memo,2021-08-10,33
mktestdocs,2021-08-10,18
pytest-duration-insights,2021-08-10,60
scikit-lego,2021-08-10,673
tokenwiser,2021-08-10,32
whatlies,2021-08-10,100
clumper,2021-08-11,47
drawdata,2021-08-11,15
human-learn,2021-08-11,40
memo,2021-08-11,24
mktestdocs,2021-08-11,28
pytest-duration-insights,2021-08-11,4
scikit-lego,2021-08-11,766
tokenwiser,2021-08-11,4
whatlies,2021-08-11,83
clumper,2021-08-12,33
drawdata,2021-08-12,32
human-learn,2021-08-12,59
memo,2021-08-12,30
mktestdocs,2021-08-12,18
pytest-duration-insights,2021-08-12,18
scikit-lego,2021-08-12,620
tokenwiser,2021-08-12,10
whatlies,2021-08-12,100
clumper,2021-08-13,42
human-learn,2021-08-13,11
memo,2021-08-13,43
mktestdocs,2021-08-13,24
pytest-duration-insights,2021-08-13,46
scikit-lego,2021-08-13,651
tokenwiser,2021-08-13,13
whatlies,2021-08-13,14
clumper,2021-08-14,104
drawdata,2021-08-14,4
mktestdocs,2021-08-14,1
pytest-duration-insights,2021-08-14,15
scikit-lego,2021-08-14,526
tokenwiser,2021-08-14,26
whatlies,2021-08-14,91
clumper,2021-08-15,82
drawdata,2021-08-15,10
human-learn,2021-08-15,24
memo,2021-08-15,2
mktestdocs,2021-08-15,6
scikit-lego,2021-08-15,542
tokenwiser,2021-08-15,2
whatlies,2021-08-15,5
clumper,2021-08-16,32
drawdata,2021-08-16,4
human-learn,2021-08-16,40
memo,2021-08-16,13
mktestdocs,2021-08-16,8
pytest-duration-insights,2021-08-16,2
scikit-lego,2021-08-16,646
tokenwiser,2021-08-16,25
whatlies,2021-08-16,101
clumper,2021-08-17,32
drawdata,2021-08-17,3
human-learn,2021-08-17,2
memo,2021-08-17,48
mktestdocs,2021-08-17,16
pytest-duration-insights,2021-08-17,7
scikit-lego,2021-08-17,642
tokenwiser,2021-08-17,8
whatlies,2021-08-17,12
clumper,2021-08-18,34
drawdata,2021-08-18,5
human-learn,2021-08-18,2
memo,2021-08-18,71
pytest-duration-insights,2021-08-18,12
scikit-lego,2021-08-18,581
tokenwiser,2021-08-18,2
whatlies,2021-08-18,10
clumper,2021-08-19,204
drawdata,2021-08-19,6
human-learn,2021-08-19,8
memo,2021-08-19,14
pytest-duration-insights,2021-08-19,23
scikit-lego,2021-08-19,615
whatlies,2021-08-19,6
clumper,2021-08-20,87
drawdata,2021-08-20,17
human-learn,2021-08-20,70
memo,2021-08-20,7
mktestdocs,2021-08-20,4
pytest-duration-insights,2021-08-20,4
scikit-lego,2021-08-20,800
tokenwiser,2021-08-20,12
whatlies,2021-08-20,14
clumper,2021-08-21,39
drawdata,2021-08-21,5
human-learn,2021-08-21,24
memo,2021-08-21,48
mktestdocs,2021-08-21,8
pytest-duration-insights,2021-08-21,16
scikit-lego,2021-08-21,539
tokenwiser,2021-08-21,14
whatlies,2021-08-21,4
clumper,2021-08-22,13
drawdata,2021-08-22,9
human-learn,2021-08-22,1
memo,2021-08-22,32
mktestdocs,2021-08-22,7
pytest-duration-insights,2021-08-22,17
scikit-lego,2021-08-22,582
tokenwiser,2021-08-22,13
whatlies,2021-08-22,101
clumper,2021-08-23,113
drawdata,2021-08-23,12
human-learn,2021-08-23,54
memo,2021-08-23,36
mktestdocs,2021-08-23,11
pytest-duration-insights,2021-08-23,2
scikit-lego,2021-08-23,779
tokenwiser,2021-08-23,25
whatlies,2021-08-23,176
clumper,2021-08-24,18
drawdata,2021-08-24,9
human-learn,2021-08-24,86
memo,2021-08-24,56
mktestdocs,2021-08-24,37
pytest-duration-insights,2021-08-24,18
scikit-lego,2021-08-24,707
whatlies,2021-08-24,60
clumper,2021-08-25,5
drawdata,2021-08-25,2
human-learn,2021-08-25,4
memo,2021-08-25,29
mktestdocs,2021-08-25,14
pytest-duration-insights,2021-08-25,15
scikit-lego,2021-08-25,731
tokenwiser,2021-08-25,13
whatlies,2021-08-25,90
clumper,2021-08-26,102
drawdata,2021-08-26,7
human-learn,2021-08-26,6
memo,2021-08-26,34
mktestdocs,2021-08-26,5
pytest-duration-insights,2021-08-26,25
scikit-lego,2021-08-26,705
tokenwiser,2021-08-26,15
whatlies,2021-08-26,16
clumper,2021-08-27,114
drawdata,2021-08-27,4
human-learn,2021-08-27,17
memo,2021-08-27,21
mktestdocs,2021-08-27,6
pytest-duration-insights,2021-08-27,2
scikit-lego,2021-08-27,696
whatlies,2021-08-27,6
clumper,2021-08-28,41
drawdata,2021-08-28,9
human-learn,2021-08-28,27
memo,2021-08-28,17
pytest-duration-insights,2021-08-28,10
scikit-lego,2021-08-28,567
tokenwiser,2021-08-28,8
whatlies,2021-08-28,12
clumper,2021-08-29,161
drawdata,2021-08-29,4
human-learn,2021-08-29,28
memo,2021-08-29,18
mktestdocs,2021-08-29,6
pytest-duration-insights,2021-08-29,4
scikit-lego,2021-08-29,576
whatlies,2021-08-29,3
clumper,2021-08-30,96
drawdata,2021-08-30,10
human-learn,2021-08-30,16
memo,2021-08-30,50
mktestdocs,2021-08-30,1
pytest-duration-insights,2021-08-30,28
scikit-lego,2021-08-30,794
tokenwiser,2021-08-30,2
whatlies,2021-08-30,3
clumper,2021-08-31,161
drawdata,2021-08-31,5
human-learn,2021-08-31,144
memo,2021-08-31,73
mktestdocs,2021-08-31,18
pytest-duration-insights,2021-08-31,13
scikit-lego,2021-08-31,947
tokenwiser,2021-08-31,5
whatlies,2021-08-31,92
clumper,2021-09-01,191
drawdata,2021-09-01,21
human-learn,2021-09-01,104
memo,2021-09-01,69
mktestdocs,2021-09-01,39
pytest-duration-insights,2021-09-01,1
scikit-lego,2021-09-01,770
